"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"CA001108380","2013-05-15","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  163",",,C","   99",",,C",,,,,,
"CA001108380","2013-05-16","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  160",",,C","  112",",,C",,,,,,
"CA001108380","2013-05-17","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  156",",,C","   90",",,C",,,,,,
"CA001108380","2013-05-18","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  156",",,C","  100",",,C",,,,,,
"CA001108380","2013-05-19","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  163",",,C","   99",",,C",,,,,,
"CA001108380","2013-05-20","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  179",",,C","   81",",,C",,,,,,
"CA001108380","2013-05-21","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   53",",,C","  116",",,C","   86",",,C",,,,,,
"CA001108380","2013-05-22","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    4",",,C","  147",",,C","   88",",,C",,,,,,
"CA001108380","2013-05-23","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   43",",,C","  156",",,C","   68",",,C",,,,,,
"CA001108380","2013-05-24","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  171",",,C","   68",",,C",,,,,,
"CA001108380","2013-05-25","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  174",",,C","   82",",,C",,,,,,
"CA001108380","2013-05-26","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  174",",,C","   95",",,C",,,,,,
"CA001108380","2013-05-27","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   53",",,C","  158",",,C","  115",",,C",,,,,,
"CA001108380","2013-05-28","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","  136",",,C","  145",",,C","  110",",,C",,,,,,
"CA001108380","2013-05-29","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   30",",,C","  133",",,C","  103",",,C",,,,,,
"CA001108380","2013-05-30","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  162",",,C","   89",",,C",,,,,,
"CA001108380","2013-05-31","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  172",",,C","   96",",,C",,,,,,
"CA001108380","2013-06-01","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  175",",,C","  112",",,C",,,,,,
"CA001108380","2013-06-02","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  172",",,C","  119",",,C",,,,,,
"CA001108380","2013-06-03","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  172",",,C","   97",",,C",,,,,,
"CA001108380","2013-06-04","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  199",",,C","  106",",,C",,,,,,
"CA001108380","2013-06-05","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  198",",,C","  135",",,C",,,,,,
"CA001108380","2013-06-06","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  206",",,C","  117",",,C",,,,,,
"CA001108380","2013-06-07","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    7",",,C","  201",",,C","  125",",,C",,,,,,
"CA001108380","2013-06-08","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  195",",,C","  107",",,C",,,,,,
"CA001108380","2013-06-09","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    6",",,C","  185",",,C","  111",",,C",,,,,,
"CA001108380","2013-06-10","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  185",",,C","   82",",,C",,,,,,
"CA001108380","2013-06-11","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  184",",,C","  119",",,C",,,,,,
"CA001108380","2013-06-12","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    6",",,C","  183",",,C","  107",",,C",,,,,,
"CA001108380","2013-06-13","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  192",",,C","   83",",,C",,,,,,
"CA001108380","2013-06-14","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  184",",,C","  120",",,C",,,,,,
"CA001108380","2013-06-15","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  201",",,C","   89",",,C",,,,,,
"CA001108380","2013-06-16","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  224",",,C","  128",",,C",,,,,,
"CA001108380","2013-06-17","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  224",",,C","  141",",,C",,,,,,
"CA001108380","2013-06-18","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  196",",,C","  140",",,C",,,,,,
"CA001108380","2013-06-19","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  198",",,C","  136",",,C",,,,,,
"CA001108380","2013-06-20","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   87",",,C","  156",",,C","  125",",,C",,,,,,
"CA001108380","2013-06-21","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  202",",,C","  118",",,C",,,,,,
"CA001108380","2013-06-22","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  226",",,C","  131",",,C",,,,,,
"CA001108380","2013-06-23","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   12",",,C","  187",",,C","  110",",,C",,,,,,
"CA001108380","2013-06-24","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","  124",",,C","  183",",,C","  142",",,C",,,,,,
"CA001108380","2013-06-25","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   32",",,C","  206",",,C","  136",",,C",,,,,,
"CA001108380","2013-06-26","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   13",",,C","  211",",,C","  138",",,C",,,,,,
"CA001108380","2013-06-27","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   51",",,C","  205",",,C","  152",",,C",,,,,,
"CA001108380","2013-06-28","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  204",",,C","  153",",,C",,,,,,
"CA001108380","2013-06-29","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  248",",,C","  161",",,C",,,,,,
"CA001108380","2013-06-30","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  266",",,C","  154",",,C",,,,,,
"CA001108380","2013-07-01","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  283",",,C","  170",",,C",,,,,,
"CA001108380","2013-07-02","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  256",",,C","  153",",,C",,,,,,
"CA001108380","2013-07-04","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  211",",,C","  126",",,C",,,,,,
"CA001108380","2013-07-05","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  210",",,C","  123",",,C",,,,,,
"CA001108380","2013-07-06","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  222",",,C","  133",",,C",,,,,,
"CA001108380","2013-07-07","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  210",",,C","  145",",,C",,,,,,
"CA001108380","2013-07-08","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  221",",,C","  143",",,C",,,,,,
"CA001108380","2013-07-09","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  246",",,C","  143",",,C",,,,,,
"CA001108380","2013-07-10","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  234",",,C","  133",",,C",,,,,,
"CA001108380","2013-07-11","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  203",",,C","  120",",,C",,,,,,
"CA001108380","2013-07-12","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  211",",,C","  103",",,C",,,,,,
"CA001108380","2013-07-13","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  214",",,C","  106",",,C",,,,,,
"CA001108380","2013-07-14","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  224",",,C","  122",",,C",,,,,,
"CA001108380","2013-07-15","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  232",",,C","  158",",,C",,,,,,
"CA001108380","2013-07-16","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  248",",,C","  138",",,C",,,,,,
"CA001108380","2013-07-17","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  241",",,C","  172",",,C",,,,,,
"CA001108380","2013-07-18","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  231",",,C","  143",",,C",,,,,,
"CA001108380","2013-07-19","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  227",",,C","  145",",,C",,,,,,
"CA001108380","2013-07-20","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  243",",,C","  141",",,C",,,,,,
"CA001108380","2013-07-21","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  224",",,C","  132",",,C",,,,,,
"CA001108380","2013-07-22","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  238",",,C","  135",",,C",,,,,,
"CA001108380","2013-07-23","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  253",",,C","  137",",,C",,,,,,
"CA001108380","2013-07-24","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA",,,"  247",",,C","  132",",,C",,,,,,
"CA001108380","2013-07-25","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  241",",,C","  125",",,C",,,,,,
"CA001108380","2013-07-26","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  229",",,C","  135",",,C",,,,,,
"CA001108380","2013-07-27","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  223",",,C","  154",",,C",,,,,,
"CA001108380","2013-07-28","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  221",",,C","  135",",,C",,,,,,
"CA001108380","2013-07-29","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  234",",,C","  146",",,C",,,,,,
"CA001108380","2013-07-30","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  253",",,C","  146",",,C",,,,,,
"CA001108380","2013-07-31","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  244",",,C","  148",",,C",,,,,,
"CA001108380","2013-08-01","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  226",",,C","  144",",,C",,,,,,
"CA001108380","2013-08-02","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   40",",,C","  183",",,C","  145",",,C",,,,,,
"CA001108380","2013-08-03","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  225",",,C","  149",",,C",,,,,,
"CA001108380","2013-08-04","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  232",",,C","  148",",,C",,,,,,
"CA001108380","2013-08-05","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  243",",,C","  150",",,C",,,,,,
"CA001108380","2013-08-06","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  252",",,C","  123",",,C",,,,,,
"CA001108380","2013-08-07","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  263",",,C","  134",",,C",,,,,,
"CA001108380","2013-08-08","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  255",",,C","  146",",,C",,,,,,
"CA001108380","2013-08-09","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  247",",,C","  140",",,C",,,,,,
"CA001108380","2013-08-10","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  261",",,C","  149",",,C",,,,,,
"CA001108380","2013-08-11","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   25",",,C","  234",",,C","  146",",,C",,,,,,
"CA001108380","2013-08-12","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  247",",,C","  143",",,C",,,,,,
"CA001108380","2013-08-13","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  246",",,C","  145",",,C",,,,,,
"CA001108380","2013-08-14","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  252",",,C","  141",",,C",,,,,,
"CA001108380","2013-08-15","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  227",",,C","  167",",,C",,,,,,
"CA001108380","2013-08-16","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  250",",,C","  154",",,C",,,,,,
"CA001108380","2013-08-17","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  242",",,C","  167",",,C",,,,,,
"CA001108380","2013-08-18","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  234",",,C","  138",",,C",,,,,,
"CA001108380","2013-08-19","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  237",",,C","  141",",,C",,,,,,
"CA001108380","2013-08-20","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  225",",,C","  122",",,C",,,,,,
"CA001108380","2013-08-21","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  238",",,C","  119",",,C",,,,,,
"CA001108380","2013-08-22","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  249",",,C","  126",",,C",,,,,,
"CA001108380","2013-08-23","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   10",",,C","  233",",,C","  150",",,C",,,,,,
"CA001108380","2013-08-24","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    9",",,C","  228",",,C","  151",",,C",,,,,,
"CA001108380","2013-08-25","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  234",",,C","  129",",,C",,,,,,
"CA001108380","2013-08-26","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    5",",,C","  238",",,C","  146",",,C",,,,,,
"CA001108380","2013-08-27","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   62",",,C","  230",",,C","  155",",,C",,,,,,
"CA001108380","2013-08-28","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   40",",,C","  231",",,C","  159",",,C",,,,,,
"CA001108380","2013-08-29","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","  162",",,C","  208",",,C","  174",",,C",,,,,,
"CA001108380","2013-08-30","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   57",",,C","  237",",,C","  150",",,C",,,,,,
"CA001108380","2013-08-31","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  208",",,C","  112",",,C",,,,,,
"CA001108380","2013-09-01","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  234",",,C","  132",",,C",,,,,,
"CA001108380","2013-09-02","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    3",",,C","  226",",,C","  151",",,C",,,,,,
"CA001108380","2013-09-03","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   81",",,C","  223",",,C","  145",",,C",,,,,,
"CA001108380","2013-09-04","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  211",",,C","  131",",,C",,,,,,
"CA001108380","2013-09-05","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   21",",,C","  186",",,C","  134",",,C",,,,,,
"CA001108380","2013-09-06","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  207",",,C","  149",",,C",,,,,,
"CA001108380","2013-09-07","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  233",",,C","  160",",,C",,,,,,
"CA001108380","2013-09-08","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  213",",,C","  135",",,C",,,,,,
"CA001108380","2013-09-09","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  220",",,C","  128",",,C",,,,,,
"CA001108380","2013-09-10","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  222",",,C","  140",",,C",,,,,,
"CA001108380","2013-09-11","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  255",",,C","  142",",,C",,,,,,
"CA001108380","2013-09-12","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  247",",,C","  153",",,C",,,,,,
"CA001108380","2013-09-13","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  216",",,C","  133",",,C",,,,,,
"CA001108380","2013-09-14","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  177",",,C","  147",",,C",,,,,,
"CA001108380","2013-09-15","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   59",",,C","  171",",,C","  147",",,C",,,,,,
"CA001108380","2013-09-16","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","  299",",,C","  189",",,C","  139",",,C",,,,,,
"CA001108380","2013-09-17","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  192",",,C","  118",",,C",,,,,,
"CA001108380","2013-09-18","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  203",",,C","  104",",,C",,,,,,
"CA001108380","2013-09-19","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  214",",,C","  124",",,C",,,,,,
"CA001108380","2013-09-20","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   67",",,C","  214",",,C","  111",",,C",,,,,,
"CA001108380","2013-09-21","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   51",",,C","  200",",,C","  124",",,C",,,,,,
"CA001108380","2013-09-22","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","  128",",,C","  160",",,C","  127",",,C",,,,,,
"CA001108380","2013-09-23","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   16",",,C","  176",",,C","   99",",,C",,,,,,
"CA001108380","2013-09-24","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  163",",,C","   91",",,C",,,,,,
"CA001108380","2013-09-25","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  155",",,C","   74",",,C",,,,,,
"CA001108380","2013-09-26","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  166",",,C","   73",",,C",,,,,,
"CA001108380","2013-09-27","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   88",",,C","  121",",,C","  103",",,C",,,,,,
"CA001108380","2013-09-28","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","  310",",,C","  144",",,C","  106",",,C",,,,,,
"CA001108380","2013-09-29","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","  148",",,C","  126",",,C","  101",",,C",,,,,,
"CA001108380","2013-09-30","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    7",",,C","  144",",,C","  105",",,C",,,,,,
"CA001108380","2013-10-01","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   65",",,C","  145",",,C","   80",",,C",,,,,,
"CA001108380","2013-10-02","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","  110",",,C","  103",",,C","   76",",,C",,,,,,
"CA001108380","2013-10-03","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  131",",,C","   36",",,C",,,,,,
"CA001108380","2013-10-04","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  141",",,C","   46",",,C",,,,,,
"CA001108380","2013-10-05","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  171",",,C","  108",",,C",,,,,,
"CA001108380","2013-10-06","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  218",",,C","   76",",,C",,,,,,
"CA001108380","2013-10-07","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","   26",",,C","  152",",,C","  114",",,C",,,,,,
"CA001108380","2013-10-08","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  144",",,C","   73",",,C",,,,,,
"CA001108380","2013-10-09","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  151",",,C","   37",",,C",,,,,,
"CA001108380","2013-10-10","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  137",",,C","   76",",,C",,,,,,
"CA001108380","2013-10-11","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  115",",,C","   43",",,C",,,,,,
"CA001108380","2013-10-12","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  130",",,C","   54",",,C",,,,,,
"CA001108380","2013-10-13","49.1833","-123.1833","2.0","VANCOUVER SEA ISLAND CCG, BC CA","    0",",,C","  130",",,C","   43",",,C",,,,,,
